Nifty 50,Nifty Next 50,Nifty 100,Nifty 200,Nifty Total Market,Nifty 500,Nifty500 Multicap 50:25:25,Nifty Midcap150,Nifty Midcap 50,Nifty Midcap Select,Nifty Midcap 100,Nifty Smallcap 250,Nifty Smallcap 50,Nifty Smallcap 100,Nifty Microcap 250,Nifty LargeMidcap 250,Nifty MidSmallcap 400,Nifty Auto,Nifty Bank,Nifty Financial Services,Nifty Financial Services 25/50,Nifty Financial Services Ex Bank,Nifty FMCG,Nifty Healthcare,Nifty IT,Nifty Media,Nifty Metal,Nifty Pharma,Nifty Private Bank,Nifty PSU Bank,Nifty Realty,Nifty Consumer Durables,Nifty Oil and Gas,Nifty MidSmall Financial Services,Nifty MidSmall Healthcare,Nifty MidSmall IT & Telecom,Nifty India Corporate Group Index - Aditya Birla Group,Nifty Commodities,Nifty Core Housing,Nifty CPSE,Nifty Energy,Nifty Housing,Nifty India Consumption,Nifty India Defence,Nifty India Digital,Nifty India Manufacturing,Nifty Infrastructure,Nifty India Corporate Group Index - Mahindra Group,Nifty Midcap Liquid 15,Nifty MidSmall India Consumption,Nifty MNC,Nifty Mobility,Nifty PSE,Nifty REITs & InvITs,Nifty Non-Cyclical Consumer,Nifty Services Sector,Nifty India Corporate Group Index - Tata Group,Nifty India Corporate Group Index - Tata Group 25% Cap,Nifty Transportation & Logistics,Nifty100 Liquid 15,Nifty500 Shariah,Nifty500 Multicap India Manufacturing 50:30:20,Nifty500 Multicap Infrastructure 50:30:20,Nifty SME Emerge,Nifty100 Equal Weight,Nifty100 Low Volatility 30,Nifty200 Momentum 30,Nifty200 Alpha 30,Nifty100 Alpha 30,Nifty Alpha 50,Nifty Alpha Low Volatility 30,Nifty Alpha Quality Low Volatility 30,Nifty Alpha Quality Value Low Volatility 30,Nifty Dividend Opportunities 50,Nifty Growth Sectors 15,Nifty High Beta 50,Nifty Low Volatility 50,Nifty100 Quality 30,Nifty Midcap150 Momentum 50,Nifty Midcap150 Quality 50,Nifty Smallcap250 Quality 50,Nifty MidSmallcap400 Momentum Quality 100,Nifty Smallcap250 Momentum Quality 100,Nifty Quality Low Volatility 30,Nifty50 Equal Weight,Nifty50 Value 20,Nifty500 Value 50,Nifty200 Quality 30
ADANIENT,ABB,ABB,ABB,360ONE,360ONE,360ONE,3MINDIA,ACC,AUBANK,ACC,360ONE,AARTIIND,AARTIIND,AGI,3MINDIA,360ONE,APOLLOTYRE,AUBANK,AXISBANK,AXISBANK,ABCAPITAL,BALRAMCHIN,ABBOTINDIA,COFORGE,DISHTV,APLAPOLLO,ABBOTINDIA,AXISBANK,BANKBARODA,BRIGADE,AMBER,ATGL,AUBANK,ABBOTINDIA,BSOFT,ABCAPITAL,ACC,ACC,BEL,ADANIENSOL,ACC,ADANIENSOL,ASTRAMICRO,AFFLE,ABB,ADANIPORTS,CIEINDIA,ASHOKLEY,ABBOTINDIA,3MINDIA,ADANIPORTS,BEL,BIRET,ASIANPAINT,ADANIGREEN,ASAL,INDHOTEL,AIAENG,ADANIENT,AARTIIND,AARTIIND,ACC,ABCOTS,ABB,ASIANPAINT,ALKEM,ABB,ABB,ABB,ABBOTINDIA,ABBOTINDIA,ABBOTINDIA,ANGELONE,ASHOKLEY,ACC,ALKEM,ASIANPAINT,AIAENG,3MINDIA,360ONE,ABBOTINDIA,360ONE,ABBOTINDIA,ADANIENT,BAJAJ-AUTO,BANKBARODA,ASIANPAINT
ADANIPORTS,ADANIENSOL,ADANIENSOL,ACC,3MINDIA,3MINDIA,3MINDIA,ACC,AUBANK,ASHOKLEY,APLAPOLLO,AARTIIND,AAVAS,AAVAS,ASKAUTOLTD,ABB,3MINDIA,ASHOKLEY,AXISBANK,BAJFINANCE,BAJFINANCE,BSE,BRITANNIA,ALKEM,HCLTECH,HATHWAY,ADANIENT,ALKEM,BANDHANBNK,BANKINDIA,DLF,BATAINDIA,AEGISCHEM,ABCAPITAL,AJANTPHARM,COFORGE,ABFRL,APLAPOLLO,AAVAS,COALINDIA,ADANIGREEN,ADANIGREEN,APOLLOHOSP,BDL,BHARTIARTL,AIAENG,AMBUJACEM,M&MFIN,AUROPHARMA,ALKEM,ABB,ATGL,BHEL,EMBASSY,DMART,ADANIPORTS,INDHOTEL,TCS,ADANIPORTS,ADANIPORTS,ABBOTINDIA,ABBOTINDIA,ADANIPORTS,ABINFRA,ADANIENSOL,BAJAJ-AUTO,AUROPHARMA,ADANIPORTS,ADANIENT,ADANIGREEN,ALKEM,ALKEM,ALKEM,BSE,BRITANNIA,AARTIIND,ASIANPAINT,BAJAJ-AUTO,APLAPOLLO,AIAENG,AFFLE,AIAENG,AARTIDRUGS,ALKEM,ADANIPORTS,BRITANNIA,BANKINDIA,BAJAJ-AUTO
APOLLOHOSP,ADANIGREEN,ADANIENT,APLAPOLLO,ABB,ABB,ABB,AIAENG,ABCAPITAL,ASTRAL,AUBANK,AAVAS,ARE&M,AFFLE,AARTIDRUGS,ACC,ACC,BAJAJ-AUTO,BANDHANBNK,BAJAJFINSV,BAJAJFINSV,BAJFINANCE,COLPAL,APOLLOHOSP,INFY,NAZARA,HINDALCO,AUROPHARMA,CUB,MAHABANK,GODREJPROP,BLUESTARCO,BPCL,BSE,APLLTD,CYIENT,BIRLAMONEY,ADANIENSOL,AMBUJACEM,COCHINSHIP,BPCL,ATGL,ASIANPAINT,BEL,BSOFT,APLAPOLLO,APOLLOHOSP,M&M,BANDHANBNK,BATAINDIA,ABBOTINDIA,ASHOKLEY,BPCL,INDIGRID,BHARTIARTL,APOLLOHOSP,NELCO,TATACONSUM,AMARAJABAT,APOLLOHOSP,ALKEM,ALKEM,AEGISCHEM,AGUL,ADANIENT,BERGEPAINT,BAJAJ-AUTO,AUROPHARMA,ADANIGREEN,ADANIPOWER,AXISBANK,ASIANPAINT,ASIANPAINT,BAJAJ-AUTO,CIPLA,ADANIENT,DMART,BERGEPAINT,AJANTPHARM,APLAPOLLO,ARE&M,AJANTPHARM,AEGISCHEM,ASIANPAINT,APOLLOHOSP,COALINDIA,BPCL,BERGEPAINT
ASIANPAINT,ADANIPOWER,ADANIGREEN,AUBANK,ACC,ACC,ACC,APLAPOLLO,ALKEM,AUROPHARMA,ABCAPITAL,ACE,ANGELONE,ALOKINDS,AARTIPHARM,AIAENG,AIAENG,BALKRISIND,BANKBARODA,CHOLAFIN,CHOLAFIN,BAJAJFINSV,DABUR,AUROPHARMA,LTTS,NETWORK18,HINDCOPPER,BIOCON,FEDERALBNK,CANBK,LODHA,CENTURYPLY,CASTROLIND,BANDHANBNK,ALKEM,FSL,ABSLAMC,ADANIGREEN,ASIANPAINT,NBCC,COALINDIA,AMBUJACEM,DMART,COCHINSHIP,COFORGE,ASHOKLEY,ASHOKLEY,MAHEPC,COFORGE,CROMPTON,AMBUJACEM,BAJAJ-AUTO,COALINDIA,IRBINVIT,BRITANNIA,DMART,ORIENTHOT,TATAELXSI,APOLLOTYRE,AXISBANK,ARE&M,ARE&M,ARE&M,AISL,ADANIGREEN,BOSCHLTD,BEL,BAJAJ-AUTO,ADANIPORTS,ANGELONE,BAJAJ-AUTO,BAJAJ-AUTO,BAJAJ-AUTO,BANKBARODA,EICHERMOT,ADANIPORTS,AXISBANK,BEL,ALKEM,AUBANK,AVANTIFEED,ALKEM,AMBER,BAJAJ-AUTO,ASIANPAINT,DRREDDY,CESC,BEL
AXISBANK,ATGL,ADANIPORTS,ADANIENSOL,AGI,AIAENG,AIAENG,AUBANK,ASHOKLEY,BHARATFORG,ABFRL,AEGISCHEM,APARINDS,ARE&M,ACCELYA,APLAPOLLO,APLAPOLLO,BHARATFORG,FEDERALBNK,HDFCAMC,HDFCAMC,BAJAJHLDNG,GODREJCP,BIOCON,LTIM,PVRINOX,HINDZINC,CIPLA,HDFCBANK,CENTRALBK,MAHLIFE,CERA,GAIL,CANFINHOME,AUROPHARMA,HFCL,GRASIM,ADANIPOWER,BERGEPAINT,NHPC,IOC,ASIANPAINT,BAJAJ-AUTO,DCXINDIA,CYIENT,ASTRAL,BALKRISIND,MHRIL,DIXON,DIXON,ASHOKLEY,BALKRISIND,CONCOR,MINDSPACE,COLPAL,AXISBANK,RALLIS,TATAMTRDVR,ASHOKLEY,BAJFINANCE,AMBER,AMBER,AMBUJACEM,ASLIND,ADANIPORTS,BRITANNIA,BHARATFORG,BEL,ADANIPOWER,APARINDS,BHARTIARTL,BEL,BEL,BANKINDIA,HCLTECH,ADANIPOWER,BAJAJ-AUTO,BOSCHLTD,AUROPHARMA,ABBOTINDIA,BLS,APARINDS,APARINDS,BERGEPAINT,AXISBANK,GRASIM,CANBK,BRITANNIA
BAJAJ-AUTO,AMBUJACEM,ADANIPOWER,ADANIENT,AIAENG,APLAPOLLO,APLAPOLLO,ABBOTINDIA,ASTRAL,COFORGE,ALKEM,AETHER,BSOFT,AMBER,ADVENZYMES,AUBANK,AUBANK,BOSCHLTD,HDFCBANK,HDFCBANK,HDFCBANK,CANFINHOME,HINDUNILVR,CIPLA,MPHASIS,SAREGAMA,JSWSTEEL,DIVISLAB,ICICIBANK,INDIANB,OBEROIRLTY,CROMPTON,GUJGASLTD,CDSL,LALPATHLAB,HAPPSTMNDS,HINDALCO,AMBUJACEM,BLUESTARCO,NLCINDIA,NTPC,AXISBANK,BHARTIARTL,DATAPATTNS,NYKAA,AUROPHARMA,BHARATFORG,MAHLIFE,FEDERALBNK,LALPATHLAB,BATAINDIA,BHARATFORG,GAIL,NXST,CROMPTON,BAJFINANCE,TRF,TATAMOTORS,BAJAJ-AUTO,BHARTIARTL,APOLLOTYRE,APOLLOTYRE,APOLLOHOSP,AATMAJ,ADANIPOWER,CIPLA,BHEL,BHEL,BAJAJ-AUTO,APOLLOTYRE,BOSCHLTD,BOSCHLTD,BRITANNIA,BEL,HEROMOTOCO,ATGL,BHARTIARTL,BRITANNIA,BHARATFORG,AJANTPHARM,BALAMINES,APLAPOLLO,ARE&M,BOSCHLTD,BAJAJ-AUTO,HCLTECH,CHAMBLFERT,COALINDIA
BAJFINANCE,DMART,ATGL,ADANIGREEN,APLAPOLLO,AUBANK,AUBANK,AWL,AUROPHARMA,CONCOR,APOLLOTYRE,AFFLE,BLUESTARCO,ANGELONE,AHLUCONT,ABBOTINDIA,AARTIIND,EICHERMOT,ICICIBANK,HDFCLIFE,HDFCLIFE,CHOLAFIN,ITC,DIVISLAB,PERSISTENT,SUNTV,JSL,DRREDDY,IDFCFIRSTB,IOB,PHOENIXLTD,DIXON,GSPL,CHOLAHLDNG,ERIS,INTELLECT,ULTRACEMCO,BPCL,CROMPTON,NTPC,ONGC,BANDHANBNK,BRITANNIA,GRSE,HCLTECH,BAJAJ-AUTO,BPCL,MAHLOG,GODREJPROP,EMAMILTD,BOSCHLTD,BPCL,HAL,PGINVIT,DABUR,BAJAJFINSV,TATACHEM,TATAPOWER,BALKRISIND,COALINDIA,ASAHIINDIA,ASAHIINDIA,APOLLOTYRE,AILIMITED,ATGL,COLPAL,COALINDIA,COALINDIA,BEL,AUROPHARMA,BRITANNIA,BRITANNIA,COALINDIA,BPCL,HINDUNILVR,ABCAPITAL,BRITANNIA,COALINDIA,BHEL,ASTRAL,BSOFT,ARE&M,AVANTIFEED,BRITANNIA,BAJFINANCE,HEROMOTOCO,COALINDIA,COLPAL
BAJAJFINSV,BAJAJHLDNG,AMBUJACEM,ADANIPORTS,ASKAUTOLTD,AARTIIND,AARTIIND,ABCAPITAL,BALKRISIND,CUMMINSIND,ASHOKLEY,APLLTD,CESC,APARINDS,AMIORG,ADANIENSOL,AAVAS,EXIDEIND,IDFCFIRSTB,ICICIBANK,ICICIBANK,HDFCAMC,MARICO,LALPATHLAB,TCS,TV18BRDCST,JINDALSTEL,GLAND,INDUSINDBK,PSB,PRESTIGE,HAVELLS,HINDPETRO,CUB,FORTIS,KPITTECH,IDEA,COALINDIA,DLF,ONGC,POWERGRID,BANKBARODA,COLPAL,HAL,HAPPSTMNDS,BALKRISIND,BHARTIARTL,SWARAJENG,HDFCAMC,FORTIS,BRITANNIA,BOSCHLTD,HINDPETRO,,DIXON,BHARTIARTL,TATACOMM,TATASTEEL,BHARATFORG,INDUSINDBK,ASHOKLEY,ASHOKLEY,ASAHIINDIA,ACCENTMIC,AMBUJACEM,DABUR,COLPAL,CUMMINSIND,BPCL,BSE,COALINDIA,COALINDIA,COLPAL,BRITANNIA,ITC,ABFRL,CIPLA,COLPAL,CGPOWER,ATUL,CANFINHOME,ASTRAL,BALAMINES,CIPLA,BAJAJFINSV,HINDALCO,DEEPAKFERT,COROMANDEL
BPCL,BANKBARODA,APOLLOHOSP,ADANIPOWER,AUBANK,AAVAS,AAVAS,ABFRL,BANDHANBNK,FEDERALBNK,ASTRAL,ALKYLAMINE,CASTROLIND,BLS,ANANTRAJ,ADANIENT,ABBOTINDIA,HEROMOTOCO,INDUSINDBK,ICICIGI,ICICIGI,HDFCLIFE,NESTLEIND,DRREDDY,TECHM,TIPSINDLTD,NMDC,GLENMARK,KOTAKBANK,PNB,SOBHA,KAJARIACER,IOC,CAMS,GLAXO,LTTS,,DALBHARAT,DALBHARAT,OIL,RELIANCE,BERGEPAINT,DLF,IDEAFORGE,INDIAMART,BATAINDIA,CONCOR,TECHM,IDFCFIRSTB,GODREJPROP,CRISIL,CONCOR,IOC,,NYKAA,GAIL,TCS,TITAN,BOSCHLTD,MARUTI,ASTRAL,ASTRAL,ASHOKLEY,ACCORD,APOLLOHOSP,DRREDDY,DLF,DLF,CANBK,BAJAJ-AUTO,COLPAL,COLPAL,CUMMINSIND,CANBK,INFY,AMBUJACEM,COLPAL,DABUR,CRISIL,BALKRISIND,CASTROLIND,AUROPHARMA,BALRAMCHIN,COALINDIA,BPCL,ICICIBANK,EIDPARRY,DABUR
